feature,perm_macro_f1_drop_mean,perm_macro_f1_drop_std
emb_58,0.00020832564257724506,0.0003604654112330158
emb_211,0.0002067069803612487,0.00011647402509238128
emb_51,0.00020390775788383663,0.0005870621058467387
emb_235,0.00020261114790669498,0.00045390638446808
emb_359,0.00019880783410273218,0.00010616228667724109
emb_434,0.0001964242065869204,0.00027929232258163225
emb_409,0.00019379221462747508,0.000312891367397571
emb_302,0.00019338701015965133,0.0006395106198034236
emb_352,0.00019261613231582597,0.0005570457734414799
emb_183,0.0001912389051181851,0.00039289270228507584
emb_96,0.0001846956469194083,0.0003746361824346708
emb_37,0.00018420287966407488,6.45058956046017e-05
emb_324,0.00017491362406367726,0.0002729617062199201
emb_74,0.00017392034109351418,8.603702008322579e-05
emb_188,0.00017188202712872246,0.0002869691183334482
emb_25,0.00016301237848306282,0.0006020141172978068
emb_87,0.00016125341891208843,0.000177861693018073
emb_213,0.00015710021711559107,0.0004404801129614229
emb_483,0.00015672509617137287,0.00024964216383346985
emb_44,0.00014875407356804705,0.00027204733234895877
emb_391,0.00014242533252464273,0.00023843119313987524
emb_46,0.00014180313643885611,0.0006604906332818882
emb_147,0.00013923924666896513,0.00018161488649505068
emb_156,0.00013705708489410994,0.000858018175069257
emb_216,0.00013567487436554336,0.000146077255729261
emb_410,0.00013283469972418248,0.0004757277335375287
emb_349,0.00013103695030209918,0.00047990599360618575
emb_368,0.0001292642848368386,0.00016540829435470302
emb_206,0.00012840013170591912,0.0003421466237042486
emb_452,0.00012186748893558975,0.00021886360784854794
emb_100,0.00011430702878660881,0.0007217010017474467
emb_274,0.00011347376155550482,0.00037054365622016716
emb_346,0.00011110901141369034,0.00020496787878437496
emb_70,0.00010743672403776828,0.0002608443981882072
emb_286,0.00010678031459310233,0.0002990778995785407
emb_297,0.00010201772237985462,6.606984236840999e-05
emb_247,0.00010152935982727928,0.0005165043356190727
emb_60,0.0001008260511063952,0.0002941907587400482
emb_353,9.854585100625979e-05,0.00024610559519648676
emb_431,9.631077688756484e-05,0.0005893657821928651
emb_374,9.576038944716369e-05,5.146439272965956e-05
emb_323,9.380349321488345e-05,0.0002875565243578135
emb_219,8.888616100946045e-05,7.27486238120239e-05
emb_11,8.841134625754421e-05,0.0002586708923359211
emb_384,8.837154648810852e-05,0.0003570323969018803
emb_85,8.706231577604306e-05,8.912850286449526e-05
emb_367,8.511723132422765e-05,0.0005785994838008549
emb_266,8.441466369872863e-05,0.000487895151092987
emb_185,8.185102395825705e-05,9.671440872801096e-05
emb_241,8.072643714780447e-05,5.701755921912307e-05
emb_220,8.049628035331491e-05,0.00028475705261347934
emb_289,7.69291208189804e-05,0.0002261970152971065
emb_482,7.339272755515491e-05,0.0002147421439677318
emb_474,7.183922613152038e-05,0.00018658518336624907
emb_386,7.059238106712495e-05,0.00022710821711399893
emb_327,7.00260887607218e-05,0.00017355924405220585
emb_456,6.814035659243877e-05,0.00010585383189876677
emb_89,6.245910858155845e-05,0.00012296068317142528
emb_441,6.134396959753819e-05,0.00033817554707977647
emb_381,5.937375565896463e-05,0.00025946582030193365
emb_365,5.863879727512345e-05,0.00034348257399021684
emb_408,5.8344964925605146e-05,0.00020398149627806893
emb_490,5.751601295918007e-05,7.33868448847708e-05
emb_243,5.7129610380202146e-05,0.0001375206830258607
emb_234,5.403038337914445e-05,0.00048324199147775697
emb_312,4.837198889888761e-05,0.0003649692798565285
emb_124,4.491099020622613e-05,0.00013682474610059736
emb_47,4.3804746725673024e-05,0.0004262993554430995
emb_339,4.3231437448398855e-05,0.0006069023713542797
emb_443,3.8658545207614917e-05,0.00015604505297892637
emb_322,3.835719698901397e-05,0.00023472152243464127
emb_333,3.6252297955252645e-05,0.0002992108303561221
emb_48,3.1415827739067484e-05,0.00013995580759421824
